SQL> select VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name fileclass,
  2         (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end) isSmallFile,
  3         count(*), sum(cns_file_metadata.filesize)
  4    from cns_seg_metadata, cns_file_metadata, cns_class_metadata, VMGR.vmgr_tape_side
  5   where cns_seg_metadata.s_fileid = cns_file_metadata.fileid
  6     and cns_file_metadata.fileclass = cns_class_metadata.classid
  7     and cns_seg_metadata.vid = VMGR.vmgr_tape_side.VID
  8   group by VMGR.vmgr_tape_side.poolname, cns_seg_metadata.copyno, cns_class_metadata.name,
  9            (case when cns_file_metadata.filesize < 300000000 then 1 else 0 end)
 10   order by cns_class_metadata.name, cns_seg_metadata.copyno, VMGR.vmgr_tape_side.poolname, isSmallFile;

POOLNAME            COPYNO FILECLASS       ISSMALLFILE   COUNT(*) SUM(CNS_FILE_METADATA.FILESIZE)
--------------- ---------- --------------- ----------- ---------- -------------------------------
lep_data                 1 aleph                     0      20499 1.1760E+13
lep_data                 1 aleph                     1     123490 8.6700E+12
vlep_data                1 aleph                     0          3 2929440245
vlep_data                1 aleph                     1          6 787045618
lep_data                 2 aleph                     0      19107 1.0964E+13
lep_data                 2 aleph                     1     116252 8.1313E+12
vlep_data                2 aleph                     0       1395 7.9883E+11
vlep_data                2 aleph                     1       7244 5.3954E+11
lep_data                 3 aleph                     0          1 396879480
lep_data                 3 aleph                     1          2 463106160
lep_data                 1 aleph2                    0       3663 1.5515E+12
lep_data                 1 aleph2                    1        746 1.8133E+11
lep_data                 2 aleph2                    0       3659 1.5498E+12
lep_data                 2 aleph2                    1        746 1.8133E+11
user_small               2 aleph2                    0          4 1745987760
lep_data                 3 aleph2                    0         18 7482429360
lep_data                 3 aleph2                    1          1 269744760
lep_data                 4 aleph2                    0          3 1237160520
lep_data                 5 aleph2                    0          1 359008200
lep_data                 6 aleph2                    0          1 359008200
lep_data                 1 alephmc                   0       4942 1.7350E+12
lep_data                 1 alephmc                   1      59466 1.1981E+13
vlep_data                1 alephmc                   1          2 530037720
lep_data                 2 alephmc                   0       2932 1.0295E+12
lep_data                 2 alephmc                   1      34693 7.0561E+12
vlep_data                2 alephmc                   0       2010 7.0548E+11
vlep_data                2 alephmc                   1      24775 4.9253E+12
lep_data                 3 alephmc                   1          1 172022760
lep_data                 1 alephmccp                 0      11479 6.6627E+12
lep_data                 1 alephmccp                 1      17609 2.4726E+12
lep_data                 2 alephmccp                 0      11478 6.6620E+12
lep_data                 2 alephmccp                 1      17607 2.4722E+12
vlep_data                2 alephmccp                 0          1 708340320
vlep_data                2 alephmccp                 1          2 335330640
lep_data                 3 alephmccp                 0         18 1.4075E+10
lep_data                 3 alephmccp                 1         20 4355645760
lep_data                 4 alephmccp                 0          1 826567920
lep_data                 4 alephmccp                 1          1 218833200
lep_data                 1 alephstf                  0         97 5.1121E+10
lep_data                 1 alephstf                  1      13989 7.6111E+10
lep_data                 2 alephstf                  1          6 4188745
user_small               2 alephstf                  0         97 5.1121E+10
user_small               2 alephstf                  1      13983 7.6107E+10
lep_data                 1 alephwwtf                 0        103 6.2873E+10
lep_data                 1 alephwwtf                 1       1962 1.2443E+10
lep_data                 2 alephwwtf                 1          3 7077888
user_small               2 alephwwtf                 0        103 6.2873E+10
user_small               2 alephwwtf                 1       1959 1.2436E+10
alice                    1 alice                     0         25 3.0625E+10
alice                    1 alice                     1      10898 3.1262E+11
alice2                   1 alice                     0         37 4.1337E+10
alice2                   1 alice                     1      12467 3.6494E+11
alice_new                1 alice                     0          2 2306801664
alice_new                1 alice                     1       3147 765567
alice_new2               1 alice                     1       2283 74455
user_small               1 alice                     1          9 241
valice                   1 alice                     0          9 1.1066E+10
valice                   1 alice                     1       1577 5.1261E+10
valice_new               1 alice                     1       4650 149838
valice_new2              1 alice                     1       5257 217702
vuser_new                1 alice                     1          1 26
alice                    2 alice                     1          1 33554432
alice                    1 alice_alien               0        726 3.9428E+11
alice                    1 alice_alien               1       7568 2.1809E+11
alice2                   1 alice_alien               0        674 3.7668E+11
alice2                   1 alice_alien               1      10050 2.1740E+11
valice                   1 alice_alien               0        196 1.0806E+11
valice                   1 alice_alien               1       2454 7.1869E+10
alice                    2 alice_alien               1          4 323087907
alice2                   2 alice_alien               0         37 1.5024E+10
alice2                   2 alice_alien               1        186 7291531388
alice                    3 alice_alien               1          1 267503481
alice2                   3 alice_alien               1          1 2808835
valice                   3 alice_alien               1          2 139590007
alice2                   4 alice_alien               1          1 1
alice2                   5 alice_alien               1          1 1
alice_new2               1 alice_test                1       5248 5.3801E+10
alice_raw_08             1 alice_test                1        166 1736268202
alice_testdata           1 alice_test                0         19 3.8123E+10
alice_testdata           1 alice_test                1       1696 1.7708E+10
alice                    1 alicecdr                  0      11407 5.8570E+12
alice                    1 alicecdr                  1      13503 8.7810E+11
alice2                   1 alicecdr                  0       9861 5.0990E+12
alice2                   1 alicecdr                  1      14635 1.0998E+12
valice                   1 alicecdr                  0        550 3.3637E+11
valice                   1 alicecdr                  1       2537 1.2393E+11
alice                    2 alicecdr                  0       9485 4.8336E+12
alice                    2 alicecdr                  1      12650 1.0270E+12
alice2                   2 alicecdr                  0      11387 5.9289E+12
alice2                   2 alicecdr                  1      15421 9.1470E+11
user_small               2 alicecdr                  0        183 9.1513E+10
valice                   2 alicecdr                  0        763 4.3835E+11
valice                   2 alicecdr                  1       2604 1.6013E+11
alice                    3 alicecdr                  0          1 500007548
alice                    3 alicecdr                  1        168 717811547
alice2                   3 alicecdr                  0          4 2706074156
alice2                   3 alicecdr                  1         20 138129755
valice                   3 alicecdr                  1          1 2245754
alice                    4 alicecdr                  1        114 383236708
alice2                   4 alicecdr                  1         51 197343272
alice_new                1 alicemdc                  0     117502 1.2062E+14
alice_new                1 alicemdc                  1     481319 1.8132E+13
alice_new2               1 alicemdc                  0     108190 9.5306E+13
alice_new2               1 alicemdc                  1     560819 1.8126E+13
alice_prod_07            1 alicemdc                  0     159530 1.0642E+14
alice_prod_07            1 alicemdc                  1     482033 1.3842E+13
alice_raw_08             1 alicemdc                  0         10 1.5652E+10
alice_raw_08             1 alicemdc                  1       1052 5038928649
alice_small              1 alicemdc                  0          1 1731260301
alice_small              1 alicemdc                  1     582592 2.3163E+13
alice_testdata           1 alicemdc                  0         64 3.3464E+10
alice_testdata           1 alicemdc                  1        303 2.1943E+10
alicedc04                1 alicemdc                  0       2898 3.0704E+12
alicedc04                1 alicemdc                  1       5570 1.9978E+11
lep_data                 1 alicemdc                  0          4 4058819219
lep_data                 1 alicemdc                  1          1 78079132
user_new                 1 alicemdc                  0         71 7.3778E+10
user_new                 1 alicemdc                  1         65 553045993
user_small               1 alicemdc                  0       1402 9.8711E+11
user_small               1 alicemdc                  1      69901 6.5461E+11
valice_new               1 alicemdc                  0     197785 1.8439E+14
valice_new               1 alicemdc                  1     425424 1.5141E+13
valice_new2              1 alicemdc                  0     303570 2.6595E+14
valice_new2              1 alicemdc                  1     500236 2.2330E+13
valice_prod_07           1 alicemdc                  0      95199 6.2178E+13
valice_prod_07           1 alicemdc                  1     122332 3.4650E+12
vlep_data                1 alicemdc                  0          2 1444214170
alice_small              2 alicemdc                  1         83 2582854872
alice_new                1 aliceraw                  0       3468 7.6830E+12
alice_new                1 aliceraw                  1       2212 1.9322E+11
alice_new2               1 aliceraw                  0       2732 7.2578E+12
alice_new2               1 aliceraw                  1       1892 1.6938E+11
alice_prod_07            1 aliceraw                  0       2678 7.0114E+12
alice_prod_07            1 aliceraw                  1       1802 1.6035E+11
alice_raw_08             1 aliceraw                  0    3131596 6.4968E+15
alice_raw_08             1 aliceraw                  1     506303 4.4552E+13
alice_small              1 aliceraw                  0       2353 6.0475E+12
alice_small              1 aliceraw                  1       1364 1.1675E+11
alice_testdata           1 aliceraw                  0          5 9320791932
alice_testdata           1 aliceraw                  1        107 6010847354
user_new                 1 aliceraw                  0       2872 7.6546E+12
user_new                 1 aliceraw                  1       1952 1.7091E+11
user_small               1 aliceraw                  0       2015 1.9746E+12
user_small               1 aliceraw                  1          4 144442600
valice_new               1 aliceraw                  0        184 1.6525E+11
valice_new               1 aliceraw                  1         28 2262615579
valice_raw_08            1 aliceraw                  0     128881 1.4352E+14
valice_raw_08            1 aliceraw                  1       3060 2.3995E+11
alice_new2               2 aliceraw                  0       1041 1.7435E+12
alice_new2               2 aliceraw                  1          4 784196441
alice_raw_08             2 aliceraw                  0        453 3.8924E+11
alice_raw_08             2 aliceraw                  1        226 2.2807E+10
ams                      1 ams                       0     163902 3.1330E+14
ams                      1 ams                       1     364526 1.7844E+13
default                  1 ams                       0         68 1.2584E+11
default                  1 ams                       1          5 814392135
lep_data                 1 ams                       0      37353 2.8256E+13
lep_data                 1 ams                       1     173515 1.1004E+13
public_user              1 ams                       0        769 7.9634E+11
public_user              1 ams                       1        251 2.9460E+10
user_new                 1 ams                       0       4966 1.0888E+13
user_new                 1 ams                       1       6884 3.7438E+11
vlep_data                1 ams                       0        565 4.6724E+11
vlep_data                1 ams                       1      16929 1.7982E+11
lep_data                 2 ams                       0          4 1862597417
lep_data                 2 ams                       1          4 654619888
alice_prod_07            1 atlas                     1         14 426706100
atlas1                   1 atlas                     0      57239 4.4811E+13
atlas1                   1 atlas                     1    1599408 3.1653E+13
atlas2                   1 atlas                     0      31456 2.4679E+13
atlas2                   1 atlas                     1    1076944 2.0506E+13
atlas_dur_bak            1 atlas                     0       2482 1.8616E+12
atlas_dur_bak            1 atlas                     1      37723 1.1765E+12
atlas_esd_08             1 atlas                     1          3 30021752
atlas_m4_07              1 atlas                     0     827916 1.0406E+15
atlas_m4_07              1 atlas                     1    1249921 1.4819E+14
atlas_new1               1 atlas                     0     145160 1.3958E+14
atlas_new1               1 atlas                     1     518203 1.9453E+13
atlas_new2               1 atlas                     0     143774 1.3954E+14
atlas_new2               1 atlas                     1     554938 1.9535E+13
atlas_prod_08            1 atlas                     1          1 6812
atlas_raw_08             1 atlas                     1          1 7114680
atlas_small_07           1 atlas                     0       2642 1.6845E+12
atlas_small_07           1 atlas                     1    2351102 1.9557E+13
default                  1 atlas                     0        404 3.4666E+11
default                  1 atlas                     1     238209 9.6336E+11
na481                    1 atlas                     0          1 471539712
user_new                 1 atlas                     0          2 1206144486
user_new                 1 atlas                     1        117 778580380
user_small               1 atlas                     0       2484 2.5721E+12
user_small               1 atlas                     1       3777 1.8159E+11
vatlas1                  1 atlas                     0      10074 8.3218E+12
vatlas1                  1 atlas                     1     310441 5.1972E+12
vatlas2                  1 atlas                     0      32850 2.5763E+13
vatlas2                  1 atlas                     1     848380 1.6646E+13
vatlas_dur_bak           1 atlas                     0        415 3.1669E+11
vatlas_dur_bak           1 atlas                     1       7120 2.3502E+11
vatlas_m4_07             1 atlas                     0    1126336 1.4491E+15
vatlas_m4_07             1 atlas                     1    1177026 1.0956E+14
vatlas_new1              1 atlas                     0      22292 2.1430E+13
vatlas_new1              1 atlas                     1     537589 2.3019E+13
vatlas_new2              1 atlas                     0      21233 1.9793E+13
vatlas_new2              1 atlas                     1     421162 1.9931E+13
vatlas_prod_08           1 atlas                     0       8213 9.1154E+12
vatlas_prod_08           1 atlas                     1      15682 1.1111E+12
vatlas_small_07          1 atlas                     0       1402 8.0548E+11
vatlas_small_07          1 atlas                     1     915512 8.6853E+12
atlas1                   2 atlas                     0         83 4.7477E+10
atlas1                   2 atlas                     1        167 1.1985E+10
atlas2                   2 atlas                     0         14 9797622877
atlas2                   2 atlas                     1         97 4658417550
atlas_m4_07              2 atlas                     0         22 8.4683E+10
atlas_m4_07              2 atlas                     1          1 174582932
default                  2 atlas                     1          3 201270666
vatlas1                  2 atlas                     1         16 564726568
vatlas2                  2 atlas                     0         11 8661355232
vatlas2                  2 atlas                     1         47 1472854833
vatlas_prod_08           2 atlas                     0          2 1990987137
vatlas_prod_08           2 atlas                     1          3 276757667
atlas1                   3 atlas                     0          2 1053664307
atlas1                   3 atlas                     1          2 399725902
atlas2                   3 atlas                     0          1 347405865
vatlas2                  3 atlas                     1          1 157347778
vatlas_prod_08           3 atlas                     1          1 105133307
atlas1                   1 atlas_2copy               0         29 5.6035E+10
atlas1                   1 atlas_2copy               1        112 1026428510
atlas2                   1 atlas_2copy               0         19 2.8886E+10
atlas2                   1 atlas_2copy               1        144 443802435
atlas_new2               1 atlas_2copy               0         26 3.3982E+10
atlas_new2               1 atlas_2copy               1         86 4262491687
vatlas1                  1 atlas_2copy               0          7 1.0820E+10
vatlas1                  1 atlas_2copy               1         26 465954
vatlas2                  1 atlas_2copy               0         15 3.4328E+10
vatlas2                  1 atlas_2copy               1         92 942008629
vatlas_new2              1 atlas_2copy               0         38 3.1425E+10
vatlas_new2              1 atlas_2copy               1        130 1.3144E+10
vatlas_prod_08           1 atlas_2copy               1          1 77237
atlas1                   2 atlas_2copy               0         28 5.2561E+10
atlas1                   2 atlas_2copy               1        215 1177959433
atlas2                   2 atlas_2copy               0         23 4.9683E+10
atlas2                   2 atlas_2copy               1        103 753098974
atlas_new1               2 atlas_2copy               0         53 5.3300E+10
atlas_new1               2 atlas_2copy               1        184 1.4573E+10
default                  2 atlas_2copy               1          4 78927
vatlas1                  2 atlas_2copy               0          6 8930406400
vatlas1                  2 atlas_2copy               1         17 207830091
vatlas2                  2 atlas_2copy               0         12 1.7781E+10
vatlas2                  2 atlas_2copy               1         36 273815340
vatlas_new1              2 atlas_2copy               0         11 1.2107E+10
vatlas_new1              2 atlas_2copy               1         32 2833573931
vatlas_prod_08           2 atlas_2copy               0          1 1113221120
atlas_aod_08             1 atlas_aod                 0          1 620902400
atlas_esd_08             1 atlas_aod                 0          2 811591680
atlas_esd_08             1 atlas_aod                 1          7 443883520
atlas_m4_07              1 atlas_aod                 0          6 5140152286
atlas_m4_07              1 atlas_aod                 1         32 2740682715
atlas_prod_08            1 atlas_aod                 0      75462 6.4698E+13
atlas_prod_08            1 atlas_aod                 1     223441 3.3518E+13
atlas_raw_08             1 atlas_aod                 0          2 7959173120
atlas_raw_08             1 atlas_aod                 1         11 383447040
vatlas_m4_07             1 atlas_aod                 1          5 858017048
vatlas_prod_08           1 atlas_aod                 0      26382 2.3259E+13
vatlas_prod_08           1 atlas_aod                 1     165962 1.2169E+13
atlas_prod_08            1 atlas_esd                 0    1905173 3.0470E+15
atlas_prod_08            1 atlas_esd                 1     911827 8.6034E+13
atlas_user               1 atlas_esd                 1          1 19375856
vatlas_prod_08           1 atlas_esd                 0       2234 2.7870E+12
vatlas_prod_08           1 atlas_esd                 1        672 5.9594E+10
atlas_aod_08             1 atlas_prod                0       1887 3.2020E+12
atlas_aod_08             1 atlas_prod                1        667 8.2440E+10
atlas_esd_08             1 atlas_prod                0       4735 9.7942E+12
atlas_esd_08             1 atlas_prod                1       1840 1.8492E+11
atlas_m4_07              1 atlas_prod                0       7529 1.6070E+13
atlas_m4_07              1 atlas_prod                1       5460 4.3491E+11
atlas_prod_08            1 atlas_prod                0    2200833 3.8544E+15
