0,TAPEBRIDGE_NULL," - "
1,TAPEBRIDGE_STARTED,"tapebridged started"
2,TAPEBRIDGE_FAILED_TO_START,"tapebridged failed to start"
3,TAPEBRIDGE_RECEIVED_VDQM_CONNECTION,"Received a connection from VDQM"
4,TAPEBRIDGE_HANDLE_VDQM_REQUEST_EXCEPT,"Exception raised when handling a request from the VDQM"
5,TAPEBRIDGE_FAILED_TO_READ_MESSAGE_HEADER,"Failed to read message header"
6,TAPEBRIDGE_UNKNOWN_MAGIC,"Unknown magic number"
7,TAPEBRIDGE_UNKNOWN_REQUEST_TYPE,"Unknown request type"
8,TAPEBRIDGE_FAILED_TO_READ_MESSAGE_BODY,"Failed to read message body"
9,TAPEBRIDGE_RECEIVE_RTCOPY_JOB,"Receiving remote-copy job"
10,TAPEBRIDGE_RECEIVED_RTCOPY_JOB,"Received remote-copy job"
11,TAPEBRIDGE_SUBMITTING_RTCOPY_JOB_TO_RTCPD,"Submitting remote-copy job to RTCPD"
12,TAPEBRIDGE_FAILED_TO_SUBMIT_JOB_TO_RTCPD,"Failed to submit remote-copy job to RTCPD"
13,TAPEBRIDGE_FAILED_TO_MARSHALL_RTCP_ACKN,"Failed to marshall RTCP acknowledge message"
14,TAPEBRIDGE_FAILED_TO_SEND_RTCOPY_JOB_REPLY_TO_VDQM,"Failed to send remote-copy job reply to VDQM"
15,TAPEBRIDGE_FAILED_TO_PROCESS_RCOPY_JOB_SUBMISSION,"Failed to process remote-copy job submission message"
16,TAPEBRIDGE_RTCPD_HANDLER_SOCKET_IS_NULL,"The RtcpdHandlerThread has been passed a NULL socket pointer"
17,TAPEBRIDGE_INITIAL_RTCPD_CALLBACK,"Received initial callback connection from RTCPD"
18,TAPEBRIDGE_RTCPD_CALLBACK,"Received a callback connection from RTCPD"
19,TAPEBRIDGE_GOT_VOLREQID,"Got volume request ID from RTCPD"
20,TAPEBRIDGE_FAILED_TO_GET_VOLREQID,"Failed to get volume request ID from RTCPD"
21,TAPEBRIDGE_FAILED_TO_MARSHALL_RTCOPY_JOB_REPLY_MESSAGE,"Failed to marshall remote-copy job reply message"
22,TAPEBRIDGE_SIGNALLED_NO_MORE_REQUESTS,"Signalled no more requests to RTCPD"
23,TAPEBRIDGE_FAILED_TO_COORDINATE_REMOTE_COPY,"Failed to coordinate remote-copy"
24,TAPEBRIDGE_TRANSFER_FAILED,"Transfer failed"
